Installed packages
7zip.x86_64                                          25.01-1.fc43                        
Box2D.x86_64                                         2.4.2-5.fc43                        
ImageMagick.x86_64                                   1:7.1.1.47-3.fc43                   
ImageMagick-libs.x86_64                              1:7.1.1.47-3.fc43                   
LibRaw.x86_64                                        0.21.5-1.fc43                       
ModemManager.x86_64                                  1.24.2-1.fc43                       
ModemManager-glib.x86_64                             1.24.2-1.fc43                       
NetworkManager.x86_64                                1:1.54.3-2.fc43                     
NetworkManager-adsl.x86_64                           1:1.54.3-2.fc43                     
NetworkManager-bluetooth.x86_64                      1:1.54.3-2.fc43                     
NetworkManager-fortisslvpn.x86_64                    1.4.1-10.20231021gite201da5.fc43    
NetworkManager-fortisslvpn-gnome.x86_64              1.4.1-10.20231021gite201da5.fc43    
NetworkManager-iodine.x86_64                         1.2.0-25.fc43                       
NetworkManager-iodine-gnome.x86_64                   1.2.0-25.fc43                       
NetworkManager-l2tp.x86_64                           1.52.0-1.fc43                       
NetworkManager-l2tp-gnome.x86_64                     1.52.0-1.fc43                       
NetworkManager-libnm.x86_64                          1:1.54.3-2.fc43                     
NetworkManager-libreswan.x86_64                      1.2.30-1.fc43                       
NetworkManager-libreswan-gnome.x86_64                1.2.30-1.fc43                       
NetworkManager-openconnect.x86_64                    1.2.10-9.fc43                       
NetworkManager-openconnect-gnome.x86_64              1.2.10-9.fc43                       
NetworkManager-openvpn.x86_64                        1:1.12.5-2.fc43                     
NetworkManager-openvpn-gnome.x86_64                  1:1.12.5-2.fc43                     
NetworkManager-ppp.x86_64                            1:1.54.3-2.fc43                     
NetworkManager-ssh.x86_64                            1.4.2-1.fc43                        
NetworkManager-ssh-gnome.x86_64                      1.4.2-1.fc43                        
NetworkManager-ssh-selinux.x86_64                    1.4.2-1.fc43                        
NetworkManager-sstp.x86_64                           1:1.3.1-12.fc43                     
NetworkManager-sstp-gnome.x86_64                     1:1.3.1-12.fc43                     
NetworkManager-strongswan.x86_64                     1.6.0-10.fc43                       
NetworkManager-strongswan-gnome.x86_64               1.6.0-10.fc43                       
NetworkManager-team.x86_64                           1:1.54.3-2.fc43                     
NetworkManager-vpnc.x86_64                           1:1.4.0-4.fc43                      
NetworkManager-vpnc-gnome.x86_64                     1:1.4.0-4.fc43                      
NetworkManager-wifi.x86_64                           1:1.54.3-2.fc43                     
NetworkManager-wwan.x86_64                           1:1.54.3-2.fc43                     
PackageKit.x86_64                                    1.3.4-1.fc43                        
PackageKit-glib.x86_64                               1.3.4-1.fc43                        
PackageKit-gstreamer-plugin.x86_64                   1.3.4-1.fc43                        
SDL3.x86_64                                          3.4.0-3.fc43                        
Thunar.x86_64                                        4.20.8-1.fc43                       
aajohan-comfortaa-fonts.noarch                       3.105-0.7.20210729git2a87ac6.fc43   
abattis-cantarell-fonts.noarch                       0.301-15.fc43                       
abattis-cantarell-vf-fonts.noarch                    0.301-15.fc43                       
abrt.x86_64                                          2.17.8-1.fc43                       
abrt-addon-ccpp.x86_64                               2.17.8-1.fc43                       
abrt-addon-kerneloops.x86_64                         2.17.8-1.fc43                       
abrt-addon-pstoreoops.x86_64                         2.17.8-1.fc43                       
abrt-addon-vmcore.x86_64                             2.17.8-1.fc43                       
abrt-addon-xorg.x86_64                               2.17.8-1.fc43                       
abrt-cli.x86_64                                      2.17.8-1.fc43                       
abrt-dbus.x86_64                                     2.17.8-1.fc43                       
abrt-desktop.x86_64                                  2.17.8-1.fc43                       
abrt-gui.x86_64                                      2.17.8-1.fc43                       
abrt-gui-libs.x86_64                                 2.17.8-1.fc43                       
abrt-libs.x86_64                                     2.17.8-1.fc43                       
abrt-plugin-bodhi.x86_64                             2.17.8-1.fc43                       
abrt-tui.noarch                                      2.17.8-1.fc43                       
abseil-cpp.x86_64                                    20250814.1-1.fc43                   
accountsservice.x86_64                               23.13.9-9.fc43                      
accountsservice-libs.x86_64                          23.13.9-9.fc43                      
acl.x86_64                                           2.3.2-4.fc43                        
adobe-mappings-cmap.noarch                           20231115-3.fc43                     
adobe-mappings-cmap-deprecated.noarch                20231115-3.fc43                     
adobe-mappings-pdf.noarch                            20190401-10.fc43                    
adobe-source-code-pro-fonts.noarch                   2.042.1.062.1.026-7.fc43            
adwaita-cursor-theme.noarch                          49.0-1.fc43                         
adwaita-gtk2-theme.x86_64                            3.28-23.fc43                        
adwaita-icon-theme.noarch                            49.0-1.fc43                         
adwaita-icon-theme-legacy.noarch                     46.2-4.fc43                         
adwaita-mono-fonts.noarch                            49.0-2.fc43                         
adwaita-sans-fonts.noarch                            49.0-2.fc43                         
alsa-lib.x86_64                                      1.2.15.3-1.fc43                     
alsa-lib-devel.x86_64                                1.2.15.3-1.fc43                     
alsa-sof-firmware.noarch                             2025.12.2-1.fc43                    
alsa-ucm.noarch                                      1.2.15.3-1.fc43                     
alsa-utils.x86_64                                    1.2.15.2-1.fc43                     
alternatives.x86_64                                  1.33-3.fc43                         
amd-gpu-firmware.noarch                              20260309-1.fc43                     
amd-ucode-firmware.noarch                            20260309-1.fc43                     
aml.x86_64                                           0.3.0-8.fc43                        
anaconda-core.x86_64                                 43.44-3.fc43                        
anaconda-gui.x86_64                                  43.44-3.fc43                        
anaconda-install-env-deps.x86_64                     43.44-3.fc43                        
anaconda-live.noarch                                 43.44-3.fc43                        
anaconda-tui.x86_64                                  43.44-3.fc43                        
anaconda-webui.noarch                                53.1^20251022g00cddf56-1.fc43       
anaconda-widgets.x86_64                              43.44-3.fc43                        
