adobe-source-code-pro-fonts.noarch                   2.042.1.062.1.026-9.fc44            
alsa-lib-devel.x86_64                                1.2.15.3-3.fc44                     
autoconf.noarch                                      2.72-10.fc44                        
automake.noarch                                      1.18.1-4.fc44                       
bison.x86_64                                         3.8.2-15.fc44                       
boost-cobalt.x86_64                                  1.90.0-7.fc44                       
boost-context.x86_64                                 1.90.0-7.fc44                       
boost-contract.x86_64                                1.90.0-7.fc44                       
boost-coroutine.x86_64                               1.90.0-7.fc44                       
boost-devel.x86_64                                   1.90.0-7.fc44                       
boost-fiber.x86_64                                   1.90.0-7.fc44                       
boost-graph.x86_64                                   1.90.0-7.fc44                       
boost-json.x86_64                                    1.90.0-7.fc44                       
boost-log.x86_64                                     1.90.0-7.fc44                       
boost-math.x86_64                                    1.90.0-7.fc44                       
boost-nowide.x86_64                                  1.90.0-7.fc44                       
boost-numpy3.x86_64                                  1.90.0-7.fc44                       
boost-process.x86_64                                 1.90.0-7.fc44                       
boost-program-options.x86_64                         1.90.0-7.fc44                       
boost-python3.x86_64                                 1.90.0-7.fc44                       
boost-serialization.x86_64                           1.90.0-7.fc44                       
boost-stacktrace.x86_64                              1.90.0-7.fc44                       
boost-test.x86_64                                    1.90.0-7.fc44                       
boost-timer.x86_64                                   1.90.0-7.fc44                       
boost-type_erasure.x86_64                            1.90.0-7.fc44                       
boost-url.x86_64                                     1.90.0-7.fc44                       
boost-wave.x86_64                                    1.90.0-7.fc44                       
boost.x86_64                                         1.90.0-7.fc44                       
brotli-devel.x86_64                                  1.2.0-3.fc44                        
brotli.x86_64                                        1.2.0-3.fc44                        
bzip2-devel.x86_64                                   1.0.8-23.fc44                       
cairo-devel.x86_64                                   1.18.4-6.fc44                       
cairo-gobject-devel.x86_64                           1.18.4-6.fc44                       
ccache.x86_64                                        4.12.3-1.fc44                       
clang-libs.x86_64                                    22.1.4-1.fc44                       
clang-resource-filesystem.x86_64                     22.1.4-1.fc44                       
cmake-data.noarch                                    4.3.0-1.fc44                        
cmake-filesystem.x86_64                              4.3.0-1.fc44                        
cmake.x86_64                                         4.3.0-1.fc44                        
compiler-rt.x86_64                                   22.1.4-1.fc44                       
dejavu-sans-fonts.noarch                             2.37-29.fc44                        
dia.x86_64                                           1:0.97.3-32.fc44                    
doxygen.x86_64                                       2:1.16.1-3.fc44                     
eigen3-devel.noarch                                  5.0.1-3.fc44                        
eigen3-doc.noarch                                    5.0.1-3.fc44                        
emacsclient.x86_64                                   1:30.2-20.fc44                      
emacs-common.x86_64                                  1:30.2-20.fc44                      
