7zip.x86_64                                          25.01-5.fc44                        
Box2D.x86_64                                         2.4.2-7.fc44                        
ImageMagick.x86_64                                   1:7.1.2.13-2.fc44                   
ImageMagick-libs.x86_64                              1:7.1.2.13-2.fc44                   
LibRaw.x86_64                                        0.22.1-1.fc44                       
ModemManager.x86_64                                  1.24.2-3.fc44                       
ModemManager-glib.x86_64                             1.24.2-3.fc44                       
NetworkManager.x86_64                                1:1.56.0-1.fc44                     
NetworkManager-adsl.x86_64                           1:1.56.0-1.fc44                     
NetworkManager-bluetooth.x86_64                      1:1.56.0-1.fc44                     
NetworkManager-fortisslvpn.x86_64                    1.4.1-12.20231021gite201da5.fc44    
NetworkManager-fortisslvpn-gnome.x86_64              1.4.1-12.20231021gite201da5.fc44    
NetworkManager-iodine.x86_64                         1.2.0-27.fc44                       
NetworkManager-iodine-gnome.x86_64                   1.2.0-27.fc44                       
NetworkManager-l2tp.x86_64                           1.52.2-1.fc44                       
NetworkManager-l2tp-gnome.x86_64                     1.52.2-1.fc44                       
NetworkManager-libnm.x86_64                          1:1.56.0-1.fc44                     
NetworkManager-libreswan.x86_64                      1.2.30-3.fc44                       
NetworkManager-libreswan-gnome.x86_64                1.2.30-3.fc44                       
NetworkManager-openconnect.x86_64                    1.2.10-11.fc44                      
NetworkManager-openconnect-gnome.x86_64              1.2.10-11.fc44                      
NetworkManager-openvpn.x86_64                        1:1.12.5-4.fc44                     
NetworkManager-openvpn-gnome.x86_64                  1:1.12.5-4.fc44                     
NetworkManager-ppp.x86_64                            1:1.56.0-1.fc44                     
NetworkManager-ssh.x86_64                            1.4.4-1.fc44                        
NetworkManager-ssh-gnome.x86_64                      1.4.4-1.fc44                        
NetworkManager-ssh-selinux.x86_64                    1.4.4-1.fc44                        
NetworkManager-sstp.x86_64                           1:1.3.1-14.fc44                     
NetworkManager-sstp-gnome.x86_64                     1:1.3.1-14.fc44                     
NetworkManager-strongswan.x86_64                     1.6.0-12.fc44                       
NetworkManager-strongswan-gnome.x86_64               1.6.0-12.fc44                       
NetworkManager-team.x86_64                           1:1.56.0-1.fc44                     
NetworkManager-vpnc.x86_64                           1:1.4.0-6.fc44                      
NetworkManager-vpnc-gnome.x86_64                     1:1.4.0-6.fc44                      
NetworkManager-wifi.x86_64                           1:1.56.0-1.fc44                     
NetworkManager-wwan.x86_64                           1:1.56.0-1.fc44                     
PackageKit.x86_64                                    1.3.4-3.fc44                        
PackageKit-glib.x86_64                               1.3.4-3.fc44                        
PackageKit-gstreamer-plugin.x86_64                   1.3.4-3.fc44                        
SDL3.x86_64                                          3.4.0-3.fc44                        
Thunar.x86_64                                        4.20.8-1.fc44                       
aajohan-comfortaa-fonts.noarch                       3.105-0.9.20210729git2a87ac6.fc44   
abattis-cantarell-fonts.noarch                       0.301-17.fc44                       
abattis-cantarell-vf-fonts.noarch                    0.301-17.fc44                       
abrt.x86_64                                          2.17.8-3.fc44                       
abrt-addon-ccpp.x86_64                               2.17.8-3.fc44                       
abrt-addon-kerneloops.x86_64                         2.17.8-3.fc44                       
abrt-addon-pstoreoops.x86_64                         2.17.8-3.fc44                       
abrt-addon-vmcore.x86_64                             2.17.8-3.fc44                       
abrt-addon-xorg.x86_64                               2.17.8-3.fc44                       
abrt-cli.x86_64                                      2.17.8-3.fc44                       
abrt-dbus.x86_64                                     2.17.8-3.fc44                       
abrt-desktop.x86_64                                  2.17.8-3.fc44                       
abrt-gui.x86_64                                      2.17.8-3.fc44                       
abrt-gui-libs.x86_64                                 2.17.8-3.fc44                       
abrt-libs.x86_64                                     2.17.8-3.fc44                       
abrt-plugin-bodhi.x86_64                             2.17.8-3.fc44                       
abrt-tui.noarch                                      2.17.8-3.fc44                       
abseil-cpp.x86_64                                    20260107.1-1.fc44                   
accountsservice.x86_64                               23.13.9-16.fc44                     
accountsservice-libs.x86_64                          23.13.9-16.fc44                     
acl.x86_64                                           2.3.2-6.fc44                        
adobe-mappings-cmap.noarch                           20231115-5.fc44                     
adobe-mappings-cmap-deprecated.noarch                20231115-5.fc44                     
adobe-mappings-pdf.noarch                            20190401-12.fc44                    
adwaita-cursor-theme.noarch                          50.0-1.fc44                         
adwaita-icon-theme.noarch                            50.0-1.fc44                         
adwaita-icon-theme-legacy.noarch                     46.2-7.fc44                         
adwaita-mono-fonts.noarch                            50.0-1.fc44                         
adwaita-sans-fonts.noarch                            50.0-1.fc44                         
alsa-lib.x86_64                                      1.2.15.3-3.fc44                     
alsa-sof-firmware.noarch                             2025.12.2-1.fc44                    
alsa-ucm.noarch                                      1.2.15.3-3.fc44                     
alsa-utils.x86_64                                    1.2.15.2-3.fc44                     
alternatives.x86_64                                  1.33-5.fc44                         
amd-gpu-firmware.noarch                              20260410-1.fc44                     
amd-ucode-firmware.noarch                            20260410-1.fc44                     
aml.x86_64                                           0.3.0-10.fc44                       
anaconda-core.x86_64                                 44.30-2.fc44                        
anaconda-gui.x86_64                                  44.30-2.fc44                        
anaconda-install-env-deps.x86_64                     44.30-2.fc44                        
anaconda-live.noarch                                 44.30-2.fc44                        
anaconda-tui.x86_64                                  44.30-2.fc44                        
anaconda-webui.noarch                                68-1.fc44                           
anaconda-widgets.x86_64                              44.30-2.fc44                        
anthy-unicode.x86_64                                 1.0.0.20260213-1.fc44               
antiword.x86_64                                      0.37-44.fc44                        
appstream.x86_64                                     1.1.0-3.fc44                        
appstream-data.noarch                                44-4.fc44                           
aribb24.x86_64                                       1.0.3^20160216git5e9be27-5.fc44     
asunder.x86_64                                       3.0.1-9.fc44                        
at.x86_64                                            3.2.5-21.fc44                       
at-spi2-atk.x86_64                                   2.60.2-1.fc44                       
at-spi2-core.x86_64                                  2.60.2-1.fc44                       
atheros-firmware.noarch                              20260410-1.fc44                     
atk.x86_64                                           2.60.2-1.fc44                       
atkmm.x86_64                                         2.28.4-7.fc44                       
atril.x86_64                                         1.28.1-5.fc44                       
atril-libs.x86_64                                    1.28.1-5.fc44                       
attr.x86_64                                          2.5.2-8.fc44                        
audit.x86_64                                         4.1.4-1.fc44                        
audit-libs.x86_64                                    4.1.4-1.fc44                        
audit-rules.x86_64                                   4.1.4-1.fc44                        
augeas-libs.x86_64                                   1.14.2-0.11.20260408gitada6219.fc44 
authselect.x86_64                                    1.7.1-1.fc44                        
authselect-libs.x86_64                               1.7.1-1.fc44                        
autocorr-en.noarch                                   1:26.2.2.2-2.fc44                   
avahi.x86_64                                         0.9~rc2-8.fc44                      
avahi-glib.x86_64                                    0.9~rc2-8.fc44                      
avahi-gobject.x86_64                                 0.9~rc2-8.fc44                      
avahi-libs.x86_64                                    0.9~rc2-8.fc44                      
avahi-tools.x86_64                                   0.9~rc2-8.fc44                      
b43-fwcutter.x86_64                                  019-41.fc44                         
b43-openfwwf.noarch                                  5.2-48.fc44                         
bash.x86_64                                          5.3.9-3.fc44                        
bash-color-prompt.noarch                             0.7.1-3.fc44                        
bash-completion.noarch                               1:2.17-2.fc44                       
bc.x86_64                                            1.08.2-4.fc44                       
bind-libs.x86_64                                     32:9.18.48-1.fc44                   
bind-utils.x86_64                                    32:9.18.48-1.fc44                   
binutils.x86_64                                      2.46-1.fc44                         
blivet-data.noarch                                   1:3.13.2-2.fc44                     
blivet-gui-runtime.noarch                            2.6.0-12.fc44                       
blueman.x86_64                                       1:2.4.6-6.fc44                      
bluez.x86_64                                         5.86-4.fc44                         
bluez-cups.x86_64                                    5.86-4.fc44                         
bluez-libs.x86_64                                    5.86-4.fc44                         
bluez-obexd.x86_64                                   5.86-4.fc44                         
boost-atomic.x86_64                                  1.90.0-7.fc44                       
boost-charconv.x86_64                                1.90.0-7.fc44                       
boost-chrono.x86_64                                  1.90.0-7.fc44                       
boost-container.x86_64                               1.90.0-7.fc44                       
boost-date-time.x86_64                               1.90.0-7.fc44                       
boost-filesystem.x86_64                              1.90.0-7.fc44                       
boost-iostreams.x86_64                               1.90.0-7.fc44                       
boost-locale.x86_64                                  1.90.0-7.fc44                       
boost-random.x86_64                                  1.90.0-7.fc44                       
boost-regex.x86_64                                   1.90.0-7.fc44                       
boost-thread.x86_64                                  1.90.0-7.fc44                       
braille-printer-app.x86_64                           1:2.0~b0^386eea385f-11.fc44         
brcmfmac-firmware.noarch                             20260410-1.fc44                     
brlapi.x86_64                                        0.8.7-8.fc44                        
brltty.x86_64                                        6.8-8.fc44                          
btrfs-progs.x86_64                                   6.19.1-1.fc44                       
bubblewrap.x86_64                                    0.11.0-4.fc44                       
bzip2.x86_64                                         1.0.8-23.fc44                       
bzip2-libs.x86_64                                    1.0.8-23.fc44                       
c-ares.x86_64                                        1.34.6-3.fc44                       
ca-certificates.noarch                               2025.2.80_v9.0.304-7.fc44           
cairo.x86_64                                         1.18.4-6.fc44                       
cairo-gobject.x86_64                                 1.18.4-6.fc44                       
cairomm.x86_64                                       1.14.5-15.fc44                      
cairomm1.16.x86_64                                   1.18.0-16.fc44                      
catfish.noarch                                       4.20.1-7.fc44                       
cdparanoia.x86_64                                    10.2-50.fc44                        
cdparanoia-libs.x86_64                               10.2-50.fc44                        
checkpolicy.x86_64                                   3.10-1.fc44                         
chrony.x86_64                                        4.8-5.fc44                          
cifs-utils.x86_64                                    7.5-1.fc44                          
cifs-utils-info.x86_64                               7.5-1.fc44                          
cirrus-audio-firmware.noarch                         20260410-1.fc44                     
cjson.x86_64                                         1.7.18-5.fc44                       
claws-mail.x86_64                                    4.4.0-1.fc44                        
claws-mail-plugins-archive.x86_64                    4.4.0-1.fc44                        
claws-mail-plugins-att-remover.x86_64                4.4.0-1.fc44                        
claws-mail-plugins-attachwarner.x86_64               4.4.0-1.fc44                        
claws-mail-plugins-fetchinfo.x86_64                  4.4.0-1.fc44                        
claws-mail-plugins-mailmbox.x86_64                   4.4.0-1.fc44                        
claws-mail-plugins-newmail.x86_64                    4.4.0-1.fc44                        
claws-mail-plugins-notification.x86_64               4.4.0-1.fc44                        
claws-mail-plugins-pgp.x86_64                        4.4.0-1.fc44                        
claws-mail-plugins-rssyl.x86_64                      4.4.0-1.fc44                        
claws-mail-plugins-smime.x86_64                      4.4.0-1.fc44                        
claws-mail-plugins-spam-report.x86_64                4.4.0-1.fc44                        
claws-mail-plugins-tnef.x86_64                       4.4.0-1.fc44                        
claws-mail-plugins-vcalendar.x86_64                  4.4.0-1.fc44                        
cldr-emoji-annotation.noarch                         1:48.2-1.fc44                       
cldr-emoji-annotation-dtd.noarch                     1:48.2-1.fc44                       
clevis.x86_64                                        21-14.fc44                          
clevis-luks.x86_64                                   21-14.fc44                          
clevis-pin-tpm2.x86_64                               0.5.4-1.fc44                        
clucene-contribs-lib.x86_64                          2.3.3.4-55.20130812.e8e3d20git.fc44 
clucene-core.x86_64                                  2.3.3.4-55.20130812.e8e3d20git.fc44 
clutter.x86_64                                       1.26.4-19.fc44                      
cockpit-bridge.noarch                                361-1.fc44                          
cockpit-networkmanager.noarch                        361-1.fc44                          
cockpit-storaged.noarch                              361-1.fc44                          
cockpit-system.noarch                                361-1.fc44                          
cockpit-ws.x86_64                                    361-1.fc44                          
cockpit-ws-selinux.x86_64                            361-1.fc44                          
codec2.x86_64                                        1.2.0-9.fc44                        
cogl.x86_64                                          1.22.8-17.fc44                      
color-filesystem.noarch                              1-38.fc44                           
colord.x86_64                                        1.4.8-4.fc44                        
colord-libs.x86_64                                   1.4.8-4.fc44                        
compface.x86_64                                      1.5.2-45.fc44                       
composefs-libs.x86_64                                1.0.8-5.fc44                        
comps-extras.noarch                                  24-22.fc44                          
compsize.x86_64                                      1.5^git20250123.d79eacf-15.fc44     
coreutils.x86_64                                     9.10-3.fc44                         
coreutils-common.x86_64                              9.10-3.fc44                         
cpio.x86_64                                          2.15-9.fc44                         
cpp.x86_64                                           16.0.1-0.10.fc44                    
cracklib.x86_64                                      2.9.11-10.fc44                      
cracklib-dicts.x86_64                                2.9.11-10.fc44                      
cronie.x86_64                                        1.7.2-16.fc44                       
cronie-anacron.x86_64                                1.7.2-16.fc44                       
crontabs.noarch                                      1.11^20190603git9e74f2d-10.fc44     
crypto-policies.noarch                               20251128-3.git19878fe.fc44          
crypto-policies-scripts.noarch                       20251128-3.git19878fe.fc44          
cryptsetup.x86_64                                    2.8.4-1.fc44                        
cryptsetup-libs.x86_64                               2.8.4-1.fc44                        
ctags.x86_64                                         6.2.1-3.fc44                        
cups.x86_64                                          1:2.4.18-1.fc44                     
cups-browsed.x86_64                                  1:2.1.1-7.fc44                      
